Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;12;12;0.0
4;0.25;1;[0,3];2;8;8;0.0
4;0.5;3;[0,3];2;8;8;0.0
4;0.75;4;[0,1];2;6;6;0.0
5;0.125;1;[3,4];2;26;26;0.001001119613647461
5;0.25;2;[0,3];2;19;19;0.0
5;0.5;5;[0,1,4];3;9;9;0.0
5;0.75;7;[0,1,3];3;8;8;0.0
6;0.125;1;[3,4];2;55;55;0.0
6;0.25;3;[0,5];2;47;47;0.0
6;0.5;7;[0,1,2];3;23;23;0.0
6;0.75;11;[0,1,3];3;24;24;0.0
7;0.125;2;[0,5];2;104;104;0.0
7;0.25;5;[2,4,5];3;93;93;0.0009989738464355469
7;0.5;10;[2,5,6];3;95;95;0.0
7;0.75;15;[0,2,3,6];4;42;42;0.0
8;0.125;3;[0,3];2;222;222;0.0
8;0.25;7;[1,2];2;227;227;0.0009999275207519531
8;0.5;14;[0,1,2,7];4;98;98;0.0
8;0.75;21;[0,2,3,4];4;109;109;0.0
9;0.125;4;[0,7];2;473;473;0.0010004043579101562
9;0.25;9;[0,1,5];3;386;386;0.0
9;0.5;18;[0,3,5];3;397;397;0.0
9;0.75;27;[0,4,5,7,8];5;198;198;0.0
10;0.125;5;[0,1];2;969;969;0.0
10;0.25;11;[1,6,7];3;907;907;0.0
10;0.5;22;[0,5,6,7,9];5;509;509;0.0010023117065429688
10;0.75;33;[0,1,3,5,7];5;414;414;0.0
11;0.125;6;[0,9];2;1990;1990;0.0009999275207519531
11;0.25;13;[0,1];2;1982;1982;0.0009989738464355469
11;0.5;27;[0,7,9,10];4;1605;1605;0.0009987354278564453
11;0.75;41;[1,2,3,4,7,8];6;824;824;0.0009999275207519531
12;0.125;8;[0,6];2;4023;4023;0.0020024776458740234
12;0.25;16;[2,7,8];3;3924;3924;0.0019969940185546875
12;0.5;33;[0,3,5,6];4;3391;3391;0.002002716064453125
12;0.75;49;[0,2,3,4,9,10,11];7;1081;1081;0.001001119613647461
13;0.125;9;[0,7,12];3;7870;7870;0.0029959678649902344
13;0.25;19;[0,4,10];3;7850;7850;0.003999471664428711
13;0.5;39;[0,5,6,10,11];5;6250;6250;0.00400090217590332
13;0.75;58;[2,3,4,6,9,11];6;5382;5382;0.003003835678100586
14;0.125;11;[10,11,13];3;16276;16276;0.006993770599365234
14;0.25;22;[1,5,11];3;16028;16028;0.007001399993896484
14;0.5;45;[0,2,4,7,13];5;13197;13197;0.007002830505371094
14;0.75;68;[1,3,4,5,9,12,13];7;8706;8706;0.004998683929443359
15;0.125;13;[0,6];2;32653;32653;0.014001131057739258
15;0.25;26;[0,7,13];3;32261;32261;0.012999773025512695
15;0.5;52;[0,1,2,9];4;30834;30834;0.019002437591552734
15;0.75;78;[0,2,3,11,13,14];6;23698;23698;0.013998985290527344
16;0.125;15;[0,6,13];3;64906;64906;0.028000354766845703
16;0.25;30;[5,10,13,14];4;64617;64617;0.030999183654785156
16;0.5;60;[2,3,7,8,9];5;61154;61154;0.03500247001647949
16;0.75;90;[0,3,6,9,10,11,14,15];8;31877;31877;0.017997264862060547
17;0.125;17;[0,9];2;130927;130927;0.0540003776550293
17;0.25;34;[0,3,4];3;130268;130268;0.06299924850463867
17;0.5;68;[0,1,5,6,7];5;121906;121906;0.069000244140625
17;0.75;102;[0,1,3,6,10,12,13];7;91323;91323;0.07699775695800781
18;0.125;19;[1,8,9];3;261368;261368;0.10500025749206543
18;0.25;38;[0,1,11,16];4;258200;258200;0.11899924278259277
18;0.5;76;[2,4,7,8,14,15];6;242937;242937;0.12600255012512207
18;0.75;114;[3,4,5,7,8,9,12,16];8;193052;193052;0.11499786376953125
19;0.125;21;[6,7,15];3;523819;523819;0.22100019454956055
19;0.25;42;[0,4,8];3;523180;523180;0.21699762344360352
19;0.5;85;[0,1,2,3,10];5;507631;507631;0.32399940490722656
19;0.75;128;[1,3,8,9,10,13,16,17];8;398941;398941;0.2719991207122803
20;0.125;23;[0,6,16];3;1047315;1047315;0.4240000247955322
20;0.25;47;[0,2,6];3;1047247;1047247;0.44700050354003906
20;0.5;95;[1,2,3,9,10];5;1030818;1030818;0.5800011157989502
20;0.75;142;[0,1,3,6,8,12,13,19];8;793515;793515;0.6030006408691406
21;0.125;26;[1,3,8];3;2095803;2095803;0.8769972324371338
21;0.25;52;[0,7,20];3;2095702;2095702;0.9480001926422119
21;0.5;105;[4,5,6,15,17,20];6;2057231;2057231;1.050001859664917
21;0.75;157;[1,2,8,9,10,12,13,16,19];9;1557468;1557468;1.3720014095306396
22;0.125;28;[3,7,10];3;4193132;4193132;1.698000431060791
22;0.25;57;[0,2,7];3;4192535;4192535;1.9260013103485107
22;0.5;115;[2,5,15,16,21];5;4171717;4171717;2.874995231628418
22;0.75;173;[1,3,4,14,15,16,17,18,19,20];10;2838821;2838821;1.5630018711090088
23;0.125;31;[0,7,22];3;8386686;8386686;3.4702281951904297
23;0.25;63;[0,4,7];3;8386623;8386623;4.006997585296631
23;0.5;126;[7,10,13,17,20,21];6;8338121;8338121;4.936997175216675
23;0.75;189;[6,8,11,13,17,18,19,20,21];9;7492776;7492776;5.308998107910156
24;0.125;34;[0,19,22];3;16775137;16775137;6.891001224517822
24;0.25;69;[6,8,13,16];4;16772004;16772004;7.073998212814331
24;0.5;138;[0,1,14,15,20];5;16723186;16723186;9.833998680114746
24;0.75;207;[0,1,4,7,10,11,14,23];8;15547732;15547732;11.216999530792236
25;0.125;37;[3,11,17];3;33552691;33552691;13.356002569198608
25;0.25;75;[7,11,15,19];4;33549099;33549099;14.166999816894531
25;0.5;150;[0,2,4,14,17,22];6;33320108;33320108;17.140998363494873
25;0.75;225;[1,2,3,6,7,8,10,14,19,21];10;27808998;27808998;20.972999095916748
26;0.125;40;[2,3,5];3;67106490;67106490;28.960998058319092
26;0.25;81;[3,6,12,23];4;67097548;67097548;29.01400089263916
26;0.5;162;[2,6,8,14,15,18];6;66910010;66910010;30.27000093460083
26;0.75;243;[0,1,2,3,12,13,18,19,20];9;61474824;61474824;50.12099838256836
27;0.125;43;[1,15,26];3;134214994;134214994;55.78399991989136
27;0.25;87;[6,7,13,26];4;134208532;134208532;60.4212543964386
27;0.5;175;[1,6,7,8,12,19];6;133918750;133918750;59.66399645805359
27;0.75;263;[1,8,10,16,17,19,21,25,26];9;128613475;128613475;75.9079999923706
28;0.125;47;[1,5,22];3;268432213;268432213;112.01099920272827
28;0.25;94;[0,5,6,23];4;268412469;268412469;119.58566904067993
28;0.5;189;[0,2,7,11,16,23];6;267958414;267958414;128.58000016212463
28;0.75;283;[0,2,7,10,14,15,17,18,23,26];10;246109746;246109746;174.80999875068665
29;0.125;50;[0,20,26];3;536867170;536867170;214.09999656677246
29;0.25;101;[0,9,12,18];4;536845248;536845248;216.79054021835327
29;0.5;203;[0,3,5,6,12];5;536730123;536730123;267.9977750778198
29;0.75;304;[0,2,3,5,9,18,20,25,26,28];10;502779518;502779518;347.66799783706665
30;0.125;54;[0,7,15];3;1073737459;1073737459;431.01193952560425
30;0.25;108;[6,8,10,24];4;1073726937;1073726937;479.2049992084503
30;0.5;217;[4,7,11,13,16,21,25];7;1072407593;1072407593;581.0649960041046
30;0.75;326;[0,7,8,13,14,16,18,21,22,26,28];11;985173264;985173264;847.0470016002655
31;0.125;58;[1,7,26];3;2147479240;2147479240;930.1306517124176
31;0.25;116;[3,5,18,19];4;2147458729;2147458729;952.3644094467163
31;0.5;232;[0,14,24,27,28,30];6;2146679120;2146679120;993.073005437851
31;0.75;348;[0,2,4,5,8,9,13,14,18,30];10;2076769766;2076769766;1772.397444486618
32;0.125;62;[1,6,11];3;4294962387;4294962387;1806.9979274272919
32;0.25;124;[3,8,18,24,26];5;4294818400;4294818400;1752.2696866989136
32;0.5;248;[1,5,9,17,26,27,31];7;4291524898;4291524898;2091.9880118370056
32;0.75;372;[0,2,3,5,6,9,13,14,21,24,25];11;4073635175;4073635175;3078.3107929229736
33;0.125;66;[0,26,28];3;8589929051;8589929051;3525.9174721240997
33;0.25;132;[1,4,11,31];4;8589893622;8589893622;3592.243682861328
33;0.5;264;[0,9,14,17,22,27,28];7;8585065880;8585065880;4291.295862436295
