Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [2]                                                1                              5000            2499            0.025532960891723633
4               0.25            1               [0,3]                                              2                              5001            1498            0.0215456485748291
4               0.5             3               [0,3]                                              2                              5000            1457            0.01955270767211914
4               0.75            4               [0,1]                                              2                              5001            1429            0.02002549171447754
5               0.125           1               [4,3]                                              2                              5000            1666            0.02102208137512207
5               0.25            2               [0,3]                                              2                              5003            1449            0.0189969539642334
5               0.5             5               [0,1,4]                                            3                              5000            1000            0.01712942123413086
5               0.75            7               [0,1,3]                                            3                              5000            1000            0.017026424407958984
6               0.125           1               [3,4]                                              2                              5002            1593            0.021022558212280273
6               0.25            3               [0,5]                                              2                              5001            1265            0.019026517868041992
6               0.5             7               [0,1,2]                                            3                              5001            1111            0.018521785736083984
6               0.75            11              [0,1,3]                                            3                              5003            1033            0.02002263069152832
7               0.125           2               [0,5]                                              2                              5002            1434            0.01851940155029297
7               0.25            5               [2,4,5]                                            3                              5000            1224            0.020020723342895508
7               0.5             10              [2,5,6]                                            3                              5000            1201            0.019594430923461914
7               0.75            15              [0,2,3,6]                                          4                              5005            715             0.023830652236938477
8               0.125           3               [1,6]                                              2                              5001            1529            0.019025802612304688
8               0.25            7               [4,7]                                              2                              5001            1265            0.018512487411499023
8               0.5             14              [0,1,2,7]                                          4                              5005            805             0.018584012985229492
8               0.75            21              [0,2,3,4]                                          4                              5006            777             0.01902318000793457
9               0.125           4               [0,7]                                              2                              5005            1390            0.01852703094482422
9               0.25            9               [0,1,5]                                            3                              5001            1214            0.017028093338012695
9               0.5             18              [6,7,8]                                            3                              5006            1072            0.018023967742919922
9               0.75            27              [0,4,5,7,8]                                        5                              5000            745             0.01651167869567871
10              0.125           5               [1,3]                                              2                              5001            1406            0.020024776458740234
10              0.25            11              [7,6,1]                                            3                              5002            1228            0.018027544021606445
10              0.5             22              [0,5,6,7,9]                                        5                              5005            784             0.017538070678710938
10              0.75            33              [0,1,3,5,7]                                        5                              5003            658             0.019021272659301758
11              0.125           6               [9,0]                                              2                              5001            1468            0.03354954719543457
11              0.25            13              [0,4]                                              2                              5001            1288            0.02453923225402832
11              0.5             27              [0,7,9,10]                                         4                              5000            764             0.02154231071472168
11              0.75            41              [1,2,3,4,7,8]                                      6                              5003            593             0.018069028854370117
12              0.125           8               [1,7]                                              2                              5001            1419            0.01997089385986328
12              0.25            16              [8,10,9]                                           3                              5002            1235            0.01851940155029297
12              0.5             33              [0,3,5,6]                                          4                              5004            787             0.017025232315063477
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              5002            417             0.019025087356567383
13              0.125           9               [12,7,0]                                           3                              5003            1237            0.018532276153564453
13              0.25            19              [1,3,8]                                            3                              5002            1212            0.018020153045654297
13              0.5             39              [0,5,6,10,11]                                      5                              5004            765             0.016515016555786133
13              0.75            58              [0,2,6,8,11]                                       5                              5005            629             0.0180206298828125
14              0.125           11              [11,10,13]                                         3                              5001            1239            0.01826333999633789
14              0.25            22              [11,1,5]                                           3                              5001            1218            0.016618728637695312
14              0.5             45              [0,2,4,7,13]                                       5                              5005            753             0.017516374588012695
14              0.75            68              [1,4,5,9,10,12,13]                                 7                              5006            498             0.01802229881286621
15              0.125           13              [5,3]                                              2                              5001            1410            0.019025325775146484
15              0.25            26              [7,13,0]                                           3                              5003            1193            0.019022703170776367
15              0.5             52              [0,1,3,9]                                          4                              5000            770             0.017611265182495117
15              0.75            78              [0,2,3,11,13,14]                                   6                              5010            499             0.01702141761779785
16              0.125           15              [15,13,0]                                          3                              5003            1358            0.018028974533081055
16              0.25            30              [14,10,13,7]                                       4                              5002            936             0.017024755477905273
16              0.5             60              [9,8,4,2,7]                                        5                              5000            747             0.018022537231445312
16              0.75            90              [3,4,6,8,10,14,15]                                 7                              5002            500             0.01802802085876465
17              0.125           17              [16,4]                                             2                              5001            1404            0.01906108856201172
17              0.25            34              [11,15,6]                                          3                              5000            1209            0.01904749870300293
17              0.5             68              [0,1,5,7,14]                                       5                              5003            770             0.018028974533081055
17              0.75            102             [0,1,3,6,10,12,13]                                 7                              5003            527             0.019136667251586914
18              0.125           19              [8,1,9]                                            3                              5001            1279            0.020027875900268555
