Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [0]                                                1                              1000001         7               0.6744885444641113
4               0.25            1               [0,3]                                              2                              1000002         4               0.5874652862548828
4               0.5             3               [1,3]                                              2                              1000004         4               0.6032969951629639
4               0.75            4               [1,3]                                              2                              1000003         3               0.6212012767791748
5               0.125           1               [4,3]                                              2                              1000001         22              0.6312496662139893
5               0.25            2               [0,3]                                              2                              1000008         18              0.597792387008667
5               0.5             5               [0,1,4]                                            3                              1000008         3               0.6198549270629883
5               0.75            7               [0,1,3]                                            3                              1000008         3               0.5889935493469238
6               0.125           1               [3,4]                                              2                              1000002         26              0.6400387287139893
6               0.25            3               [2,4]                                              2                              1000008         18              0.5782380104064941
6               0.5             7               [0,1,2]                                            3                              1000016         3               0.5843498706817627
6               0.75            11              [0,1,3]                                            3                              1000004         4               0.5930345058441162
7               0.125           2               [5,0]                                              2                              1000007         33              0.6246588230133057
7               0.25            5               [2,4,5]                                            3                              1000006         46              0.6318626403808594
7               0.5             10              [4,5]                                              2                              1000004         20              0.6034226417541504
7               0.75            15              [0,2,3,6]                                          4                              1000000         6               0.5665614604949951
8               0.125           3               [0,3]                                              2                              1000002         79              0.6819357872009277
8               0.25            7               [1,7]                                              2                              1000000         80              0.6622116565704346
8               0.5             14              [0,1,2,7]                                          4                              1000008         7               0.631950855255127
8               0.75            21              [0,3,5,6]                                          4                              1000010         6               0.6228847503662109
9               0.125           4               [0,7]                                              2                              1000001         107             0.694028377532959
9               0.25            9               [0,1,5]                                            3                              1000000         141             0.6574680805206299
9               0.5             18              [4,6,3]                                            3                              1000007         57              0.6209859848022461
9               0.75            27              [0,1,5,8]                                          4                              1000007         9               0.6137547492980957
10              0.125           5               [0,1]                                              2                              1000001         159             0.6785814762115479
10              0.25            11              [1,6,7]                                            3                              1000002         216             0.6913378238677979
10              0.5             22              [0,5,7,9]                                          4                              1000000         60              0.6076135635375977
10              0.75            33              [0,1,3,5,7]                                        5                              1000010         3               0.6041622161865234
11              0.125           6               [7,8]                                              2                              1000004         201             0.6957666873931885
11              0.25            13              [0,2]                                              2                              1000001         230             0.6920866966247559
11              0.5             27              [0,7,9,10]                                         4                              1000002         48              0.6175050735473633
11              0.75            41              [0,3,5,9,10]                                       5                              1000009         10              0.6277542114257812
12              0.125           8               [0,7]                                              2                              1000002         276             0.6991662979125977
12              0.25            16              [8,2,7]                                            3                              1000002         523             0.6871721744537354
12              0.5             33              [0,3,6,5]                                          4                              1000000         308             0.6512651443481445
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              1000068         4               0.6198570728302002
13              0.125           9               [12,7,0]                                           3                              1000002         736             0.6823129653930664
13              0.25            19              [5,2,9]                                            3                              1000002         748             0.6750586032867432
13              0.5             39              [0,5,6,10,11]                                      5                              1000001         239             0.6519458293914795
13              0.75            58              [4,9,3,6,5]                                        5                              1000012         34              0.6631011962890625
14              0.125           11              [10,13,11]                                         3                              1000001         1056            0.6759610176086426
14              0.25            22              [8,3,5]                                            3                              1000000         1088            0.7224149703979492
14              0.5             45              [0,2,4,7,13]                                       5                              1000019         711             0.6551821231842041
14              0.75            68              [0,1,4,5,9,13]                                     6                              1000037         3               0.7075955867767334
15              0.125           13              [7,3]                                              2                              1000000         551             0.7361629009246826
15              0.25            26              [2,8,3]                                            3                              1000003         1488            0.7203595638275146
15              0.5             52              [0,1,2,9]                                          4                              1000002         4408            0.7919282913208008
15              0.75            78              [0,2,3,11,13,14]                                   6                              1000003         58              0.674269437789917
16              0.125           15              [0,15,13]                                          3                              1000001         1872            0.7819750308990479
16              0.25            30              [14,10,13,7]                                       4                              1000001         5196            0.8190820217132568
16              0.5             60              [4,9,8,2,11]                                       5                              1000001         9502            0.93747878074646
16              0.75            90              [0,3,9,10,11,14,15]                                7                              1000063         41              0.6886518001556396
17              0.125           17              [4,3]                                              2                              1000000         826             0.7592935562133789
17              0.25            34              [4,16,1]                                           3                              1000001         2453            0.7843401432037354
17              0.5             68              [0,1,5,6,7]                                        5                              1000002         13269           1.0363359451293945
17              0.75            102             [0,1,3,6,10,12,13]                                 7                              1000014         111             0.7214288711547852
18              0.125           19              [8,1,9]                                            3                              1000002         3243            0.7747306823730469
18              0.25            38              [0,1,11,16]                                        4                              1000000         9850            0.9016470909118652
18              0.5             76              [2,4,7,8,14,15]                                    6                              1000017         21287           1.283491611480713
18              0.75            114             [0,1,7,8,9,11,14]                                  7                              1000025         510             0.7360501289367676
19              0.125           21              [18,13,11]                                         3                              1000001         3963            0.8051116466522217
19              0.25            42              [8,10,0]                                           3                              1000003         4061            0.7986536026000977
19              0.5             85              [4,0,14,6,16]                                      5                              1000003         29937           1.4212782382965088
19              0.75            128             [0,3,5,6,11,16,17]                                 7                              1000022         3890            0.8469092845916748
20              0.125           23              [15,8,13]                                          3                              1000005         4894            0.7998843193054199
20              0.25            47              [4,8,17]                                           3                              1000001         5041            0.8405065536499023
20              0.5             95              [1,2,3,9,10]                                       5                              1000003         40349           1.5631201267242432
20              0.75            142             [0,1,3,6,8,12,13,19]                               8                              1000042         3               0.6910710334777832
21              0.125           26              [8,10,3]                                           3                              1000003         6187            0.8209924697875977
21              0.25            52              [1,2,3]                                            3                              1000000         6207            0.8454902172088623
21              0.5             105             [4,20,17,6,5,15]                                   6                              1000004         76070           2.715582847595215
21              0.75            157             [1,2,8,9,10,12,13,16,19]                           9                              1000047         2215            0.8103737831115723
22              0.125           28              [14,18,17]                                         3                              1000001         7471            0.8810858726501465
22              0.25            57              [4,17,3]                                           3                              1000001         7678            0.8956458568572998
22              0.5             115             [6,19,16,21,15]                                    5                              1000004         77731           2.37827205657959
22              0.75            173             [1,3,4,14,15,16,17,18,19,20]                       10                             1000040         62              0.7063088417053223
23              0.125           31              [22,0,7]                                           3                              1000002         9204            0.8953325748443604
23              0.25            63              [22,7,1]                                           3                              1000004         9111            0.9126856327056885
23              0.5             126             [20,10,13,17,21,11]                                6                              1000002         100476          3.043699264526367
23              0.75            189             [0,2,3,4,15,18,19,21]                              8                              1000016         43855           2.7273240089416504
24              0.125           34              [14,8,19]                                          3                              1000003         10737           0.9172310829162598
24              0.25            69              [8,13,6,21]                                        4                              1000002         48259           1.6074702739715576
24              0.5             138             [1,7,10,19,23]                                     5                              1000005         91301           2.7459473609924316
24              0.75            207             [0,1,4,7,10,11,14,23]                              8                              1000027         51228           3.1060373783111572
25              0.125           37              [23,8,15]                                          3                              1000003         12860           0.9577305316925049
25              0.25            75              [17,19,15,11]                                      4                              1000000         63982           1.8708419799804688
25              0.5             150             [0,2,12,14,17,22]                                  6                              1000004         96534           3.168464183807373
25              0.75            225             [1,2,3,6,7,8,10,14,19,21]                          10                             1000005         9724            1.2155098915100098
26              0.125           40              [14,17,6]                                          3                              1000002         15111           0.9931318759918213
26              0.25            81              [9,6,12,15]                                        4                              1000001         74411           2.073899507522583
26              0.5             162             [2,6,8,15,16,18]                                   6                              1000018         105552          3.2930986881256104
26              0.75            243             [0,1,2,12,13,17,18,19,20]                          9                              1000034         60458           3.338894844055176
27              0.125           43              [18,7,24]                                          3                              1000003         17876           1.0469083786010742
27              0.25            87              [9,24,20,17]                                       4                              1000007         79708           2.1919002532958984
27              0.5             175             [1,6,7,8,12,19]                                    6                              1000000         103974          3.299988269805908
27              0.75            263             [2,5,6,7,14,15,16,24,25]                           9                              1000003         63795           3.2717738151550293
28              0.125           47              [22,23,8]                                          3                              1000001         20683           1.1205806732177734
28              0.25            94              [14,26,6,23]                                       4                              1000004         87927           2.3892598152160645
28              0.5             189             [0,2,7,11,16,23]                                   6                              1000000         106393          3.4010109901428223
28              0.75            283             [3,5,7,10,11,12,13,14,23,27]                       10                             1000054         404             0.7416589260101318
29              0.125           50              [16,28,19]                                         3                              1000003         24323           1.1425800323486328
29              0.25            101             [0,9,18,12]                                        4                              1000004         97336           2.5027759075164795
29              0.5             203             [24,8,7,15,11]                                     5                              1000003         122682          3.4546942710876465
29              0.75            304             [0,2,3,5,9,18,20,25,26,28]                         10                             1000014         51051           3.4269416332244873
30              0.125           54              [22,16,20]                                         3                              1000004         27668           1.2093968391418457
30              0.25            108             [24,8,10,18]                                       4                              1000003         107012          2.697821617126465
30              0.5             217             [4,25,13,21,7,16,11]                               7                              1000007         106110          3.3977670669555664
30              0.75            326             [0,8,9,14,15,16,18,21,26,28]                       10                             1000000         61369           3.6033780574798584
31              0.125           58              [1,7,26]                                           3                              1000002         31617           1.3337771892547607
31              0.25            116             [20,22,30,12]                                      4                              1000001         115307          2.7820112705230713
31              0.5             232             [14,8,26,6,2,15]                                   6                              1000001         108013          3.73370099067688
31              0.75            348             [1,2,4,8,11,14,17,19,25,30]                        10                             1000004         49477           3.764207124710083
32              0.125           62              [8,25,19]                                          3                              1000003         36333           1.5388686656951904
32              0.25            124             [24,8,3,26,18]                                     5                              1000004         141156          3.8036556243896484
32              0.5             248             [1,9,26,5,17,27,31]                                7                              1000004         108854          3.7367587089538574
32              0.75            372             [0,2,3,5,6,13,14,21,22,24,25]                      11                             1000002         50305           3.865020513534546
33              0.125           66              [4,8,17]                                           3                              1000000         41087           1.5686633586883545
33              0.25            132             [9,8,29,16]                                        4                              1000004         131189          3.2125742435455322
33              0.5             264             [0,9,22,14,17,27,28]                               7                              1000001         109297          3.8736073970794678
33              0.75            396             [4,5,6,13,14,20,22,25,28,29,31]                    11                             1000004         51650           3.647496223449707
34              0.125           70              [26,33,18,12]                                      4                              1000001         133242          3.184948444366455
34              0.25            140             [24,14,10,32,11]                                   5                              1000002         149900          3.8977837562561035
34              0.5             280             [4,24,25,26,29,11,28]                              7                              1000004         108493          3.694317102432251
34              0.75            420             [2,4,6,9,16,18,19,20,23]                           9                              1000000         66916           4.248164892196655
