Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[2];1;2501;626;0.00804281234741211
4;0.25;1;[0,3];2;2500;220;0.002512216567993164
4;0.5;3;[0,3];2;2500;209;0.004006862640380859
4;0.75;4;[1,3];2;2504;201;0.0030014514923095703
5;0.125;1;[4,3];2;2503;286;0.004514932632446289
5;0.25;2;[0,3];2;2503;205;0.0029959678649902344
5;0.5;5;[0,1,4];3;2504;104;0.002001047134399414
5;0.75;7;[0,1,3];3;2504;102;0.0019996166229248047
6;0.125;1;[3,4];2;2503;251;0.0031976699829101562
6;0.25;3;[0,5];2;2526;151;0.0025033950805664062
6;0.5;7;[0,1,2];3;2514;118;0.00200653076171875
6;0.75;11;[0,1,3];3;2501;103;0.0020034313201904297
7;0.125;2;[0,5];2;2500;197;0.003511190414428711
7;0.25;5;[2,4,5];3;2509;144;0.0019979476928710938
7;0.5;10;[2,5,6];3;2511;133;0.0030062198638916016
7;0.75;15;[0,2,3,6];4;2540;54;0.0019960403442382812
8;0.125;3;[0,7];2;2504;167;0.0025115013122558594
8;0.25;7;[4,6];2;2502;145;0.0020012855529785156
8;0.5;14;[0,1,2,7];4;2507;62;0.002002716064453125
8;0.75;21;[0,2,3,4];4;2528;59;0.0019965171813964844
9;0.125;4;[0,7];2;2524;168;0.002503633499145508
9;0.25;9;[5,0,1];3;2509;141;0.0030100345611572266
9;0.5;18;[7,6,3];3;2511;111;0.0029990673065185547
9;0.75;27;[0,1,5,8];4;2500;54;0.0009968280792236328
10;0.125;5;[7,0];2;2503;194;0.0040819644927978516
10;0.25;11;[7,1,6];3;2529;147;0.0019979476928710938
10;0.5;22;[5,6,7,9];4;2512;70;0.002000093460083008
10;0.75;33;[0,1,3,5,7];5;2509;42;0.0010004043579101562
11;0.125;6;[8,6];2;2506;190;0.0020003318786621094
11;0.25;13;[0,1];2;2504;154;0.0035102367401123047
11;0.5;27;[0,7,9,10];4;2556;52;0.0010018348693847656
11;0.75;41;[1,2,3,4,7,8];6;2558;32;0.0019996166229248047
12;0.125;8;[0,6];2;2521;179;0.005504131317138672
12;0.25;16;[7,2,8];3;2511;140;0.004005908966064453
12;0.5;33;[0,3,5,6];4;2505;62;0.0010025501251220703
12;0.75;49;[0,2,3,4,9,10,11];7;2628;19;0.0010020732879638672
13;0.125;9;[12,7,0];3;2504;173;0.0019974708557128906
13;0.25;19;[8,1,3];3;2501;150;0.0035114288330078125
13;0.5;39;[1,2,5,6];4;2555;62;0.002001523971557617
13;0.75;58;[0,2,6,9,11];5;2520;34;0.0010001659393310547
14;0.125;11;[11,13,10];3;2500;167;0.002999544143676758
14;0.25;22;[8,5,3];3;2510;142;0.0019991397857666016
14;0.5;45;[1,2,4,7,13];5;2589;55;0.002064228057861328
14;0.75;68;[0,1,4,5,9,13];6;2548;25;0.0
15;0.125;13;[12,9];2;2501;183;0.003000974655151367
15;0.25;26;[14,5,8];3;2515;133;0.0020012855529785156
15;0.5;52;[0,1,3,9];4;2593;57;0.0019979476928710938
15;0.75;78;[0,2,3,11,13,14];6;2645;30;0.0009996891021728516
16;0.125;15;[14,8];2;2507;176;0.002511739730834961
16;0.25;30;[7,13,10];3;2506;123;0.0019979476928710938
16;0.5;60;[0,2,5,8];4;2566;61;0.0010006427764892578
16;0.75;90;[0,3,6,9,10,11,14];7;2590;25;0.0010006427764892578
17;0.125;17;[8,15];2;2501;181;0.003503561019897461
17;0.25;34;[11,13,10];3;2512;148;0.0020093917846679688
17;0.5;68;[0,1,5,7];4;2569;61;0.0009989738464355469
17;0.75;102;[1,2,3,11,15];5;2544;30;0.001999378204345703
18;0.125;19;[1,9,8];3;2501;164;0.0025162696838378906
18;0.25;38;[11,0,16];3;2505;133;0.0009999275207519531
18;0.5;76;[2,4,7,8];4;2521;89;0.002511739730834961
18;0.75;114;[0,1,7,8,11,14,17];7;2619;17;0.001001596450805664
19;0.125;21;[14,16];2;2500;170;0.0020008087158203125
19;0.25;42;[0,11,4];3;2513;144;0.0029985904693603516
19;0.5;85;[0,1,2,12];4;2520;58;0.0009999275207519531
19;0.75;128;[0,3,5,7,11,16];6;2502;25;0.0010020732879638672
20;0.125;23;[12,18];2;2512;171;0.0035088062286376953
20;0.25;47;[4,15,8];3;2509;142;0.002000570297241211
20;0.5;95;[0,6,9,11];4;2508;69;0.0010020732879638672
20;0.75;142;[0,1,6,8,11,12,13,19];8;2533;29;0.000997781753540039
21;0.125;26;[1,3,8];3;2509;151;0.0019998550415039062
21;0.25;52;[11,16,4];3;2513;134;0.0025141239166259766
