Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [0]                                                1                              1001            501             0.006000518798828125
4               0.25            1               [0,3]                                              2                              1001            300             0.003999233245849609
4               0.5             3               [0,3]                                              2                              1002            293             0.003999471664428711
4               0.75            4               [0,1]                                              2                              1000            288             0.004000186920166016
5               0.125           1               [4,3]                                              2                              1002            338             0.005000114440917969
5               0.25            2               [0,3]                                              2                              1000            290             0.004002571105957031
5               0.5             5               [0,1,4]                                            3                              1001            201             0.0029976367950439453
5               0.75            7               [0,1,3]                                            3                              1004            202             0.004000186920166016
6               0.125           1               [3,4]                                              2                              1002            323             0.00400090217590332
6               0.25            3               [0,5]                                              2                              1000            263             0.003999233245849609
6               0.5             7               [0,1,2]                                            3                              1003            221             0.003999471664428711
6               0.75            11              [0,1,3]                                            3                              1000            206             0.004000425338745117
7               0.125           2               [0,5]                                              2                              1000            290             0.00400233268737793
7               0.25            5               [2,4,5]                                            3                              1001            263             0.003997802734375
7               0.5             10              [2,5,6]                                            3                              1003            240             0.0039997100830078125
7               0.75            15              [0,2,3,6]                                          4                              1005            145             0.003002643585205078
8               0.125           3               [7,0]                                              2                              1002            301             0.003996849060058594
8               0.25            7               [4,7]                                              2                              1003            256             0.004000425338745117
8               0.5             14              [0,1,2,7]                                          4                              1004            165             0.0039997100830078125
8               0.75            21              [0,2,3,4]                                          4                              1003            156             0.00400543212890625
9               0.125           4               [0,7]                                              2                              1005            275             0.004000425338745117
9               0.25            9               [0,1,5]                                            3                              1000            246             0.004001140594482422
9               0.5             18              [3,6,0]                                            3                              1003            223             0.0039980411529541016
9               0.75            27              [0,4,5,7,8]                                        5                              1005            151             0.004123687744140625
10              0.125           5               [4,5]                                              2                              1000            285             0.004000663757324219
10              0.25            11              [7,1,6]                                            3                              1003            249             0.004000186920166016
10              0.5             22              [0,5,6,7,9]                                        5                              1001            159             0.0029990673065185547
10              0.75            33              [0,1,3,5,7]                                        5                              1002            132             0.003999948501586914
11              0.125           6               [10,6]                                             2                              1004            289             0.004002571105957031
11              0.25            13              [1,3]                                              2                              1000            262             0.004998445510864258
11              0.5             27              [0,7,9,10]                                         4                              1000            159             0.0030007362365722656
11              0.75            41              [1,3,4,7,8]                                        5                              1004            126             0.003999233245849609
12              0.125           8               [4,10]                                             2                              1002            288             0.0039997100830078125
12              0.25            16              [2,7,8]                                            3                              1001            246             0.003999948501586914
12              0.5             33              [0,3,5,6]                                          4                              1005            158             0.004000663757324219
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              1011            86              0.003998994827270508
13              0.125           9               [7,12,0]                                           3                              1001            251             0.0039997100830078125
13              0.25            19              [5,2,9]                                            3                              1003            248             0.003999948501586914
13              0.5             39              [0,5,6,10,11]                                      5                              1002            159             0.0030014514923095703
13              0.75            58              [7,6,12,9,0]                                       5                              1005            130             0.003998756408691406
14              0.125           11              [13,11,10]                                         3                              1001            251             0.003000974655151367
14              0.25            22              [11,6,5]                                           3                              1003            245             0.0040013790130615234
14              0.5             45              [1,2,4,7,13]                                       5                              1002            150             0.003999233245849609
14              0.75            68              [0,1,4,5,9,13]                                     6                              1008            99              0.0029997825622558594
15              0.125           13              [11,10]                                            2                              1000            276             0.004000186920166016
15              0.25            26              [4,5,3]                                            3                              1000            239             0.004006385803222656
15              0.5             52              [0,1,2,12]                                         4                              1003            165             0.003997802734375
15              0.75            78              [0,2,3,11,13,14]                                   6                              1003            110             0.003000497817993164
16              0.125           15              [15,13,0]                                          3                              1000            249             0.003999948501586914
16              0.25            30              [1,2,12]                                           3                              1001            234             0.003506183624267578
16              0.5             60              [2,3,7,8,9]                                        5                              1001            154             0.004004955291748047
16              0.75            90              [0,3,6,9,10,11,14,15]                              8                              1007            89              0.0030002593994140625
17              0.125           17              [4,3]                                              2                              1002            270             0.003999471664428711
17              0.25            34              [4,3,1]                                            3                              1006            240             0.003999948501586914
17              0.5             68              [4,8,6,12]                                         4                              1002            163             0.003000020980834961
17              0.75            102             [0,1,3,6,10,12,13]                                 7                              1004            102             0.003999233245849609
18              0.125           19              [8,1,9]                                            3                              1001            269             0.0040018558502197266
18              0.25            38              [11,1,16,0]                                        4                              1003            217             0.002998828887939453
18              0.5             76              [4,7,14,2,9]                                       5                              1000            156             0.004000186920166016
18              0.75            114             [0,1,7,8,9,11,14]                                  7                              1001            102             0.003001689910888672
19              0.125           21              [7,15,6]                                           3                              1002            261             0.0039975643157958984
19              0.25            42              [4,11,1]                                           3                              1000            241             0.004000425338745117
19              0.5             85              [10,3,1,2,0]                                       5                              1004            157             0.003000020980834961
19              0.75            128             [0,3,5,6,11,16,17]                                 7                              1006            103             0.003999471664428711
20              0.125           23              [13,15,8]                                          3                              1003            264             0.003999948501586914
20              0.25            47              [13,7,16]                                          3                              1003            243             0.003000497817993164
20              0.5             95              [1,2,3,9,10]                                       5                              1003            161             0.004001140594482422
20              0.75            142             [0,1,3,6,8,12,13,19]                               8                              1006            86              0.003998994827270508
21              0.125           26              [3,1,8]                                            3                              1000            253             0.0030002593994140625
21              0.25            52              [18,20,17]                                         3                              1002            242             0.002996683120727539
21              0.5             105             [4,15,1,6,17]                                      5                              1003            155             0.00400090217590332
21              0.75            157             [1,2,6,7,8,13,16,19]                               8                              1003            95              0.003000020980834961
22              0.125           28              [20,15,3]                                          3                              1001            272             0.003998994827270508
22              0.25            57              [13,9,21]                                          3                              1000            236             0.004004240036010742
22              0.5             115             [5,15,21,16,2]                                     5                              1005            157             0.00400090217590332
22              0.75            173             [3,4,12,14,15,16,18,19,20]                         9                              1015            86              0.0030014514923095703
23              0.125           31              [19,5]                                             2                              1000            275             0.004503965377807617
23              0.25            63              [4,5,12]                                           3                              1000            242             0.004006385803222656
23              0.5             126             [4,11,19,20,3]                                     5                              1003            165             0.0029976367950439453
23              0.75            189             [0,3,4,11,13,18,19,21]                             8                              1006            85              0.003999948501586914
24              0.125           34              [19,14,8]                                          3                              1000            257             0.00400090217590332
24              0.25            69              [13,11,10]                                         3                              1001            238             0.003999233245849609
24              0.5             138             [11,15,20,14,0]                                    5                              1010            153             0.003000020980834961
24              0.75            207             [0,1,4,7,10,11,14,23]                              8                              1011            84              0.004000425338745117
25              0.125           37              [19,24,7]                                          3                              1001            258             0.004001140594482422
25              0.25            75              [19,17,15]                                         3                              1002            241             0.003999233245849609
25              0.5             150             [23,10,6,17]                                       4                              1003            153             0.003999948501586914
25              0.75            225             [0,2,5,7,8,11,13,17,21]                            9                              1008            80              0.004002094268798828
26              0.125           40              [17,9,6]                                           3                              1003            253             0.0039975643157958984
26              0.25            81              [20,24,18]                                         3                              1003            238             0.004001617431640625
26              0.5             162             [19,22,10,6,16]                                    5                              1003            157             0.002997875213623047
26              0.75            243             [0,1,2,3,8,13,15,18]                               8                              1003            83              0.004001140594482422
27              0.125           43              [24,18,7]                                          3                              1001            259             0.003999233245849609
27              0.25            87              [18,17,9]                                          3                              1001            237             0.003999948501586914
27              0.5             175             [26,11,23,21,0]                                    5                              1003            154             0.004000425338745117
27              0.75            263             [0,2,4,12,16,20,23]                                7                              1013            98              0.0029985904693603516
28              0.125           47              [11,23,21]                                         3                              1000            253             0.004002809524536133
28              0.25            94              [18,8,2]                                           3                              1001            228             0.004997968673706055
28              0.5             189             [0,4,10,11,16]                                     5                              1005            153             0.003000497817993164
28              0.75            283             [0,1,5,6,9,10,25,26]                               8                              1011            96              0.004005908966064453
29              0.125           50              [11,23]                                            2                              1002            289             0.003998279571533203
29              0.25            101             [26,15,6,28]                                       4                              1002            213             0.004001140594482422
29              0.5             203             [26,23,27,7,13]                                    5                              1005            161             0.003000497817993164
29              0.75            304             [0,2,3,5,9,15,17,18,25]                            9                              1006            87              0.0035104751586914062
30              0.125           54              [4,5,12]                                           3                              1001            258             0.003999233245849609
30              0.25            108             [4,1,6]                                            3                              1001            239             0.004001140594482422
30              0.5             217             [19,4,11,16,13]                                    5                              1002            155             0.003999471664428711
30              0.75            326             [3,4,7,15,17,18,27,29]                             8                              1011            95              0.003000020980834961
31              0.125           58              [26,7,8]                                           3                              1002            244             0.0039997100830078125
31              0.25            116             [27,20,30]                                         3                              1003            237             0.004000425338745117
31              0.5             232             [26,22,7,14,17]                                    5                              1001            153             0.003999471664428711
31              0.75            348             [2,4,6,10,11,17,19,20]                             8                              1010            83              0.0030019283294677734
32              0.125           62              [26,20,6]                                          3                              1000            255             0.004000186920166016
32              0.25            124             [26,27,7]                                          3                              1000            233             0.003997802734375
32              0.5             248             [26,5,31,30,9]                                     5                              1000            158             0.004000186920166016
32              0.75            372             [0,2,3,5,6,9,13,14,21,24,25]                       11                             1004            80              0.003999471664428711
33              0.125           66              [32,30,29]                                         3                              1000            243             0.004000186920166016
33              0.25            132             [13,26,25]                                         3                              1000            235             0.0030014514923095703
33              0.5             264             [19,5,4,3,12]                                      5                              1002            154             0.003998994827270508
33              0.75            396             [4,5,6,13,17,22,25,26,27,29,31]                    11                             1001            78              0.004000186920166016
34              0.125           70              [33,2,20]                                          3                              1002            257             0.003999233245849609
34              0.25            140             [5,12,0]                                           3                              1002            237             0.004000663757324219
34              0.5             280             [19,22,1,6,9]                                      5                              1005            147             0.003999471664428711
34              0.75            420             [19,22,23,29,18,30,1,2]                            8                              1015            93              0.003002643585205078
35              0.125           74              [5,7,25]                                           3                              1002            251             0.0039997100830078125
35              0.25            148             [33,6,28]                                          3                              1003            235             0.0040035247802734375
35              0.5             297             [26,15,23,3,12]                                    5                              1002            157             0.0039980411529541016
35              0.75            446             [19,26,11,5,16,13,12,2,28]                         9                              1008            83              0.00400233268737793
36              0.125           78              [27,31,18]                                         3                              1003            255             0.003997802734375
36              0.25            157             [33,27,35]                                         3                              1001            239             0.004510641098022461
36              0.5             315             [2,7,10,14,19]                                     5                              1005            154             0.0039980411529541016
36              0.75            472             [4,5,12,17,22,23,24,28,32]                         9                              1001            79              0.003999948501586914
37              0.125           83              [2,5,16]                                           3                              1006            258             0.004000186920166016
37              0.25            166             [8,15,25]                                          3                              1003            233             0.003999948501586914
37              0.5             333             [22,24,14,10,30]                                   5                              1001            154             0.0029997825622558594
37              0.75            499             [26,4,29,11,14,1,3,28]                             8                              1017            81              0.004002571105957031
38              0.125           87              [27,20,1]                                          3                              1000            248             0.003998756408691406
38              0.25            175             [4,5,3]                                            3                              1000            237             0.003999471664428711
38              0.5             351             [26,5,22,36,25]                                    5                              1001            156             0.003999948501586914
