Algorithm                      Correct_Results Accuracy       
exhaustive                     119             1.0            
greedy                         45              0.37815126050420167
randomized_1000                53              0.44537815126050423
randomized_2500                62              0.5210084033613446
randomized_5000                73              0.6134453781512605
randomized_10000               84              0.7058823529411765
randomized_20000               85              0.7142857142857143
randomized_100000              100             0.8403361344537815
randomized_500000              107             0.8991596638655462
randomized_1000000             108             0.907563025210084
randomized_2500000             111             0.9327731092436975
randomized_5000000             115             0.9663865546218487
